date,ticker,underlying_price,otm_pct
2021-12-17,NVDA US 01/21/22 C30 Equity,27.801,0.07909787417718794
2023-06-16,NVDA US 07/21/23 C45 Equity,42.692,0.05406165089478132
2023-08-18,NVDA US 09/15/23 C45 Equity,43.299,0.0392849719393058
2023-12-15,NVDA US 01/19/24 C50 Equity,48.89,0.022704029453876062
2024-01-19,NVDA US 02/16/24 C60 Equity,59.491,0.00855591602091077
2024-02-16,NVDA US 03/15/24 C75 Equity,72.613,0.03287290154655498
2024-03-15,NVDA US 04/19/24 C95 Equity,87.8365,0.08155493445207851
2024-04-19,NVDA US 05/17/24 C80 Equity,76.2,0.04986876640419946
2024-05-17,NVDA US 06/21/24 C101 Equity,92.479,0.0921398371522184
2024-06-21,NVDA US 07/19/24 C138 Equity,126.57,0.09030575965868692
2024-07-19,NVDA US 08/16/24 C129 Equity,117.93,0.09386924446705658
2024-08-16,NVDA US 09/20/24 C136 Equity,124.58,0.09166800449510348
2024-09-20,NVDA US 10/18/24 C126 Equity,116.0,0.0862068965517242
2024-10-18,NVDA US 11/15/24 C150 Equity,138.0,0.08695652173913038
2024-11-15,NVDA US 12/20/24 C155 Equity,141.98,0.09170305676855905
2024-12-20,NVDA US 01/17/25 C146 Equity,134.7,0.0838901262063847
2025-01-17,NVDA US 02/21/25 C150 Equity,137.71,0.08924551593929264
2025-02-21,NVDA US 03/21/25 C147 Equity,134.43,0.0935059138585137
