date,daily_return,cumulative_return,portfolio_mv,peak_mv,drawdown_value,drawdown_%
2018-01-03,,0.0,10000000.0,10000000.0,0,0
2018-01-04,0.004214885199837148,0.004214885199837148,10042148.851998372,10042148.851998372,0,0
2018-01-05,0.006653212046684676,0.010896139771508828,10108961.397715088,10108961.397715088,0,0
2018-01-08,0.0018144632147791828,0.012730373631086422,10127303.736310866,10127303.736310866,0,0
2018-01-09,0.0020502060962503954,0.014806679616962803,10148066.79616963,10148066.79616963,0,0
2018-01-10,-0.0013421792242828134,0.013444627174917567,10134446.271749176,10148066.79616963,-13620.524420453236,-0.0013421792242828239
2018-01-11,0.006255630814269386,0.0197843626132288,10197843.626132287,10197843.626132287,0,0
2018-01-12,0.0053515057639199615,0.025241744507708885,10252417.445077088,10252417.445077088,0,0
2018-01-15,4.58428465788252e-06,0.025246444507708743,10252464.445077088,10252464.445077088,0,0
2018-01-16,-0.003256805157642373,0.021907416599381557,10219074.165993815,10252464.445077088,-33390.27908327244,-0.0032568051576424054
2018-01-17,0.009056874825873695,0.031162704155154097,10311627.041551542,10311627.041551542,0,0
2018-01-18,-0.0013395013238085562,0.02978146034787632,10297814.603478763,10311627.041551542,-13812.438072778285,-0.0013395013238085454
2018-01-19,0.00402179245645784,0.03392302765690358,10339230.276569035,10339230.276569035,0,0
2018-01-22,0.007510647363345058,0.04168845891847672,10416884.589184767,10416884.589184767,0,0
2018-01-23,0.001986534759290226,0.04375780925046979,10437578.092504697,10437578.092504697,0,0
2018-01-24,-0.00044837754191418,0.04328981168960433,10432898.116896043,10437578.092504697,-4679.97560865432,-0.00044837754191415783
2018-01-25,0.0005213029594506313,0.043833681756002774,10438336.817560028,10438336.817560028,0,0
2018-01-26,0.010046889651282642,0.05432096357089744,10543209.635708975,10543209.635708975,0,0
2018-01-29,-0.0064012372562838316,0.04757200493880642,10475720.049388064,10543209.635708975,-67489.5863209106,-0.006401237256283797
2018-01-30,-0.009988783643447796,0.03710803483053993,10371080.348305399,10543209.635708975,-172129.28740357608,-0.01632608032572818
2018-01-31,0.0005282615714656824,0.037655899150799144,10376558.991507992,10543209.635708975,-166650.64420098253,-0.01580644319511116
2018-02-01,-0.0011246887102300818,0.03648885927592049,10364888.592759207,10543209.635708975,-178321.04294976778,-0.016913354577130786
2018-02-02,-0.02174148710231605,0.013954050110278837,10139540.50110279,10543209.635708975,-403669.13460618444,-0.03828712019905121
2018-02-05,-0.04143457556249408,-0.028058705595912392,9719412.944040878,10543209.635708975,-823796.6916680969,-0.0781352851865874
2018-02-06,0.01968399435321988,-0.008927018645201068,9910729.813547991,10543209.635708975,-632479.8221609835,-0.05998930534576747
2018-02-07,-0.0052956146173572805,-0.014175359212131422,9858246.407878688,10543209.635708975,-684963.2278302871,-0.06496723972085061
2018-02-08,-0.037466495061521,-0.05111075324773584,9488892.467522644,10543209.635708975,-1054317.1681863312,-0.09999964001620973
2018-02-09,0.015027026184934122,-0.03685176969018711,9631482.303098131,10543209.635708975,-911727.3326108437,-0.08647531104028312
2018-02-12,0.014513579622856598,-0.02287304116097222,9771269.58839028,10543209.635708975,-771940.0473186951,-0.073216797729621
2018-02-13,0.002430459401386864,-0.020498173757513394,9795018.262424868,10543209.635708975,-748191.3732841071,-0.0709642887826156
2018-02-14,0.013141828914423392,-0.007625728335669324,9923742.716643307,10543209.635708975,-619466.9190656673,-0.05875506041040712
2018-02-15,0.012273570471546424,0.00455424722175235,10045542.472217524,10543209.635708975,-497667.16349145025,-0.047202624313367816
2018-02-16,0.00030844585567746385,0.00486409781611119,10048640.978161111,10543209.635708975,-494568.6575478632,-0.04690873791153694
2018-02-20,-0.005916435544584542,-0.0010811158496849549,9989188.84150315,10543209.635708975,-554020.7942058239,-0.05254764093179003
2018-02-21,-0.004840425428383477,-0.00591630821741862,9940836.917825814,10543209.635708975,-602372.7178831603,-0.05713371342280571
2018-02-22,0.0013216972190115417,-0.004602430566524873,9953975.694334753,10543209.635708975,-589233.9413742218,-0.05588752967393681
2018-02-23,0.015730259356059095,0.011055431363054424,10110554.313630547,10543209.635708975,-432655.3220784273,-0.04103639565441815
2018-02-26,0.010926002407873003,0.022102225440620238,10221022.254406206,10543209.635708975,-322187.38130276836,-0.03055875700427567
