date,sec_id,sec_ticker,sec_name,security_type,currency,open_qty,close_qty,bid,ask,eod_price,dvd_rate,fx,opt_u_price,close_mv,cash_inflow,cash_outflow,moneyness
2018-01-03,cash,Cash,Cash,cash,USD,10000000.0,0.0,1.0,1.0,1.0,,1,,0.0,0.0,0.0,
2018-01-03,equity1,SPY US,SPY US,equity,USD,0.0,36972.677191555435,270.47,270.47,270.47,,1,,10000000.0,0.0,0.0,
2018-01-04,cash,Cash,Cash,cash,USD,0.0,0.0,1.0,1.0,1.0,,1,,0.0,0.0,0.0,
2018-01-04,equity1,SPY US,SPY US,equity,USD,36972.677191555435,36972.677191555435,271.61,271.61,271.61,,1,,10042148.851998372,0.0,0.0,
2018-01-05,cash,Cash,Cash,cash,USD,0.0,5328.0,1.0,1.0,1.0,,1,,5328.0,0.0,0.0,
2018-01-05,equity1,SPY US,SPY US,equity,USD,36972.677191555435,36972.677191555435,273.42,273.42,273.42,,1,,10109069.397715088,0.0,0.0,
2018-01-05,option1,SPY US 01/12/18 C274,SPY US,call option,USD,0.0,-72.0,0.74,0.77,0.755,,1,273.42,-5436.0,5328.0,0.0,0.002121278618974376
2018-01-08,cash,Cash,Cash,cash,USD,5328.0,5328.0,1.0,1.0,1.0,,1,,5328.0,0.0,0.0,
2018-01-08,equity1,SPY US,SPY US,equity,USD,36972.677191555435,36972.677191555435,273.92,273.92,273.92,,1,,10127555.736310866,0.0,0.0,
2018-01-08,option1,SPY US 01/12/18 C274,SPY US,call option,USD,-72.0,-72.0,0.77,0.78,0.775,,1,273.92,-5580.0,0.0,0.0,0.00029205607476634476
2018-01-09,cash,Cash,Cash,cash,USD,5328.0,5328.0,1.0,1.0,1.0,,1,,5328.0,0.0,0.0,
2018-01-09,equity1,SPY US,SPY US,equity,USD,36972.677191555435,36972.677191555435,274.54,274.54,274.54,,1,,10150478.79616963,0.0,0.0,
2018-01-09,option1,SPY US 01/12/18 C274,SPY US,call option,USD,-72.0,-72.0,1.05,1.1,1.0750000000000002,,1,274.54,-7740.000000000001,0.0,0.0,-0.0019669264952284493
2018-01-10,cash,Cash,Cash,cash,USD,5328.0,5328.0,1.0,1.0,1.0,,1,,5328.0,0.0,0.0,
2018-01-10,equity1,SPY US,SPY US,equity,USD,36972.677191555435,36972.677191555435,274.12,274.12,274.12,,1,,10134950.271749176,0.0,0.0,
2018-01-10,option1,SPY US 01/12/18 C274,SPY US,call option,USD,-72.0,-72.0,0.8,0.82,0.81,,1,274.12,-5832.000000000001,0.0,0.0,-0.0004377644827082694
2018-01-11,cash,Cash,Cash,cash,USD,5328.0,5328.0,1.0,1.0,1.0,,1,,5328.0,0.0,0.0,
2018-01-11,equity1,SPY US,SPY US,equity,USD,36972.677191555435,36972.677191555435,276.12,276.12,276.12,,1,,10208895.626132287,0.0,0.0,
2018-01-11,option1,SPY US 01/12/18 C274,SPY US,call option,USD,-72.0,-72.0,2.24,2.31,2.2750000000000004,,1,276.12,-16380.000000000002,0.0,0.0,-0.007677821237143334
2018-01-12,cash,Cash,Cash,cash,USD,5328.0,5375.0,1.0,1.0,1.0,,1,,5328.0,0.0,0.0,
2018-01-12,option1_old,SPY US 01/12/18 C274,SPY US,call option,USD,-72.0,0.0,4.03,4.34,3.920000000000016,,1,277.92,0.0,0.0,-28224.000000000116,-0.014104778353483116
2018-01-12,equity1,SPY US,SPY US,equity,USD,36972.677191555435,36890.293771866316,277.92,277.92,277.92,,1,,10252550.445077088,0.0,0.0,
2018-01-12,option1,SPY US 01/19/18 C278,SPY US,call option,USD,0.0,-43.0,1.25,1.29,1.27,,1,277.92,-5461.0,5375.0,0.0,0.0002878526194587394
2018-01-15,cash,Cash,Cash,cash,USD,5375.0,5375.0,1.0,1.0,1.0,,1,,5375.0,0.0,0.0,
2018-01-15,equity1,SPY US,SPY US,equity,USD,36890.293771866316,36890.293771866316,277.92,277.92,277.92,,1,,10252550.445077088,0.0,0.0,
2018-01-15,option1,SPY US 01/19/18 C278,SPY US,call option,USD,-43.0,-43.0,1.25,1.29,1.27,,1,277.92,-5461.0,0.0,0.0,0.0002878526194587394
2018-01-16,cash,Cash,Cash,cash,USD,5375.0,5375.0,1.0,1.0,1.0,,1,,5375.0,0.0,0.0,
2018-01-16,equity1,SPY US,SPY US,equity,USD,36890.293771866316,36890.293771866316,276.97,276.97,276.97,,1,,10217504.665993815,0.0,0.0,
2018-01-16,option1,SPY US 01/19/18 C278,SPY US,call option,USD,-43.0,-43.0,0.87,0.9,0.885,,1,276.97,-3805.5,0.0,0.0,0.0037188143120192585
2018-01-17,cash,Cash,Cash,cash,USD,5375.0,5375.0,1.0,1.0,1.0,,1,,5375.0,0.0,0.0,
2018-01-17,equity1,SPY US,SPY US,equity,USD,36890.293771866316,36890.293771866316,279.61,279.61,279.61,,1,,10314895.041551542,0.0,0.0,
2018-01-17,option1,SPY US 01/19/18 C278,SPY US,call option,USD,-43.0,-43.0,1.99,2.03,2.01,,1,279.61,-8643.0,0.0,0.0,-0.005758020099424277
2018-01-18,cash,Cash,Cash,cash,USD,5375.0,5375.0,1.0,1.0,1.0,,1,,5375.0,0.0,0.0,
2018-01-18,equity1,SPY US,SPY US,equity,USD,36890.293771866316,36890.293771866316,279.14,279.14,279.14,,1,,10297556.603478763,0.0,0.0,
2018-01-18,option1,SPY US 01/19/18 C278,SPY US,call option,USD,-43.0,-43.0,1.16,1.22,1.19,,1,279.14,-5116.999999999999,0.0,0.0,-0.004083972200329522
2018-01-19,cash,Cash,Cash,cash,USD,5375.0,5460.0,1.0,1.0,1.0,,1,,5375.0,0.0,0.0,
2018-01-19,option1_old,SPY US 01/19/18 C278,SPY US,call option,USD,-43.0,0.0,2.17,2.62,2.410000000000025,,1,280.41,0.0,0.0,-10363.000000000107,-0.008594557968688799
2018-01-19,equity1,SPY US,SPY US,equity,USD,36890.293771866316,36872.50553321577,280.41,280.41,280.41,,1,,10339419.276569035,0.0,0.0,
2018-01-19,option1,SPY US 01/26/18 C281,SPY US,call option,USD,0.0,-52.0,1.05,1.09,1.07,,1,280.41,-5564.0,5460.0,0.0,0.002104061909346866
2018-01-22,cash,Cash,Cash,cash,USD,5460.0,5460.0,1.0,1.0,1.0,,1,,5460.0,0.0,0.0,
2018-01-22,equity1,SPY US,SPY US,equity,USD,36872.50553321577,36872.50553321577,282.69,282.69,282.69,,1,,10423488.589184767,0.0,0.0,
2018-01-22,option1,SPY US 01/26/18 C281,SPY US,call option,USD,-52.0,-52.0,2.29,2.35,2.3200000000000003,,1,282.69,-12064.000000000002,0.0,0.0,-0.005978280094803501
2018-01-23,cash,Cash,Cash,cash,USD,5460.0,5460.0,1.0,1.0,1.0,,1,,5460.0,0.0,0.0,
2018-01-23,equity1,SPY US,SPY US,equity,USD,36872.50553321577,36872.50553321577,283.29,283.29,283.29,,1,,10445612.092504697,0.0,0.0,
2018-01-23,option1,SPY US 01/26/18 C281,SPY US,call option,USD,-52.0,-52.0,2.57,2.62,2.5949999999999998,,1,283.29,-13494.0,0.0,0.0,-0.008083589254827328
2018-01-24,cash,Cash,Cash,cash,USD,5460.0,5460.0,1.0,1.0,1.0,,1,,5460.0,0.0,0.0,
2018-01-24,equity1,SPY US,SPY US,equity,USD,36872.50553321577,36872.50553321577,283.18,283.18,283.18,,1,,10441556.116896043,0.0,0.0,
2018-01-24,option1,SPY US 01/26/18 C281,SPY US,call option,USD,-52.0,-52.0,2.68,2.75,2.715,,1,283.18,-14118.0,0.0,0.0,-0.00769828377710291
2018-01-25,cash,Cash,Cash,cash,USD,5460.0,5460.0,1.0,1.0,1.0,,1,,5460.0,0.0,0.0,
2018-01-25,equity1,SPY US,SPY US,equity,USD,36872.50553321577,36872.50553321577,283.3,283.3,283.3,,1,,10445980.817560028,0.0,0.0,
2018-01-25,option1,SPY US 01/26/18 C281,SPY US,call option,USD,-52.0,-52.0,2.48,2.56,2.52,,1,283.3,-13104.0,0.0,0.0,-0.008118602188492807
2018-01-26,cash,Cash,Cash,cash,USD,5460.0,5576.0,1.0,1.0,1.0,,1,,5460.0,0.0,0.0,
2018-01-26,option1_old,SPY US 01/26/18 C281,SPY US,call option,USD,-52.0,0.0,5.55,5.87,5.579999999999984,,1,286.58,0.0,0.0,-29015.999999999916,-0.019471002861330078
2018-01-26,equity1,SPY US,SPY US,equity,USD,36872.50553321577,36790.30858995386,286.58,286.58,286.58,,1,,10543366.635708975,0.0,0.0,
