date,sec_ticker,bid,ask,opt_u_price
2018-01-05,SPY US 01/12/18 C274,0.74,0.77,273.42
2018-01-12,SPY US 01/19/18 C278,1.25,1.29,277.92
2018-01-19,SPY US 01/26/18 C281,1.05,1.09,280.41
2018-01-26,SPY US 02/02/18 C287,1.36,1.38,286.58
2018-02-02,SPY US 02/09/18 C276,1.94,1.99,275.45
2018-02-09,SPY US 02/16/18 C262,3.76,3.87,261.5
2018-02-16,SPY US 02/23/18 C274,1.8,1.88,273.11
2018-02-23,SPY US 03/02/18 C275,1.71,1.78,274.71
2018-03-02,SPY US 03/09/18 C270,2.0,2.07,269.08
2018-03-09,SPY US 03/16/18 C279,1.39,1.42,278.87
2018-03-16,SPY US 03/23/18 C275,1.38,1.41,274.2
2018-03-23,SPY US 03/29/18 C259,3.25,3.31,258.05
2018-03-29,SPY US 04/06/18 C264,2.47,2.52,263.15
2018-04-06,SPY US 04/13/18 C260,3.13,3.22,259.72
2018-04-13,SPY US 04/20/18 C266,1.79,1.85,265.15
2018-04-20,SPY US 04/27/18 C267,2.07,2.1,266.61
2018-04-27,SPY US 05/04/18 C267,1.79,1.81,266.56
2018-05-04,SPY US 05/11/18 C267,1.36,1.4,266.02
2018-05-11,SPY US 05/18/18 C273,1.42,1.45,272.85
2018-05-18,SPY US 05/25/18 C272,1.2,1.21,271.33
2018-05-25,SPY US 06/01/18 C273,0.88,0.9,272.15
2018-06-01,SPY US 06/08/18 C274,1.18,1.22,273.6
2018-06-08,SPY US 06/15/18 C279,0.97,0.99,278.19
2018-06-15,SPY US 06/22/18 C278,0.88,0.91,277.13
2018-06-22,SPY US 06/29/18 C275,1.52,1.55,274.74
2018-06-29,SPY US 07/06/18 C272,1.53,1.57,271.28
2018-07-06,SPY US 07/13/18 C276,1.2,1.23,275.42
2018-07-13,SPY US 07/20/18 C280,1.08,1.1,279.59
2018-07-20,SPY US 07/27/18 C280,1.12,1.16,279.68
2018-07-27,SPY US 08/03/18 C282,1.05,1.06,281.42
2018-08-03,SPY US 08/10/18 C284,0.93,0.95,283.6
2018-08-10,SPY US 08/17/18 C284,1.23,1.27,283.16
2018-08-17,SPY US 08/24/18 C286,0.91,0.93,285.06
2018-08-24,SPY US 08/31/18 C288,1.05,1.06,287.51
2018-08-31,SPY US 09/07/18 C291,1.07,1.1,290.31
2018-09-07,SPY US 09/14/18 C288,1.5,1.51,287.6
2018-09-14,SPY US 09/21/18 C291,1.06,1.09,290.88
2018-09-21,SPY US 09/28/18 C292,1.4,1.44,291.99
2018-09-28,SPY US 10/05/18 C291,1.2,1.22,290.72
2018-10-05,SPY US 10/12/18 C288,2.25,2.29,287.82
2018-10-12,SPY US 10/19/18 C276,3.25,3.32,275.95
2018-10-19,SPY US 10/26/18 C277,2.35,2.39,276.25
2018-10-26,SPY US 11/02/18 C266,4.4,4.5,265.33
2018-11-02,SPY US 11/09/18 C272,3.12,3.19,271.89
2018-11-09,SPY US 11/16/18 C278,2.06,2.1,277.76
2018-11-16,SPY US 11/23/18 C274,2.27,2.32,273.73
2018-11-23,SPY US 11/30/18 C264,2.4,2.45,263.25
2018-11-30,SPY US 12/07/18 C276,3.68,3.72,275.65
2018-12-07,SPY US 12/14/18 C264,3.74,3.81,263.57
2018-12-14,SPY US 12/21/18 C261,2.67,2.77,260.47
2018-12-21,SPY US 12/28/18 C241,3.72,3.82,240.7
2018-12-28,SPY US 01/04/19 C248,3.93,4.06,247.75
2019-01-04,SPY US 01/11/19 C253,2.52,2.58,252.39
2019-01-11,SPY US 01/18/19 C259,2.09,2.13,258.98
2019-01-18,SPY US 01/25/19 C267,1.64,1.7,266.46
2019-01-25,SPY US 02/01/19 C266,2.16,2.22,265.78
2019-02-01,SPY US 02/08/19 C271,1.43,1.45,270.06
2019-02-08,SPY US 02/15/19 C271,1.59,1.63,270.47
2019-02-15,SPY US 02/22/19 C278,1.38,1.41,277.37
2019-02-22,SPY US 03/01/19 C280,1.12,1.14,279.14
2019-03-01,SPY US 03/08/19 C281,1.26,1.28,280.42
2019-03-08,SPY US 03/15/19 C275,1.75,1.79,274.46
2019-03-15,SPY US 03/22/19 C282,1.35,1.38,281.31
2019-03-22,SPY US 03/29/19 C280,2.34,2.39,279.25
2019-03-29,SPY US 04/05/19 C283,1.71,1.74,282.48
2019-04-05,SPY US 04/12/19 C289,1.23,1.25,288.57
2019-04-12,SPY US 04/18/19 C291,0.91,0.93,290.16
2019-04-18,SPY US 04/26/19 C291,1.06,1.07,290.02
2019-04-26,SPY US 05/03/19 C294,1.34,1.35,293.41
2019-05-03,SPY US 05/10/19 C295,1.1,1.11,294.03
2019-05-10,SPY US 05/17/19 C289,2.23,2.27,288.1
2019-05-17,SPY US 05/24/19 C286,2.58,2.6,285.84
2019-05-24,SPY US 05/31/19 C283,2.47,2.49,282.78
2019-05-31,SPY US 06/07/19 C276,2.57,2.61,275.27
2019-06-07,SPY US 06/14/19 C288,2.1,2.13,287.65
2019-06-14,SPY US 06/21/19 C290,1.52,1.55,289.26
2019-06-21,SPY US 06/28/19 C295,1.4,1.42,294.0
2019-06-28,SPY US 07/05/19 C294,2.59,2.62,293.0
2019-07-05,SPY US 07/12/19 C299,1.01,1.04,298.46
2019-07-12,SPY US 07/19/19 C301,1.13,1.15,300.65
2019-07-19,SPY US 07/26/19 C298,1.27,1.29,297.17
2019-07-26,SPY US 08/02/19 C303,1.22,1.24,302.01
2019-08-02,SPY US 08/09/19 C293,2.52,2.56,292.62
2019-08-09,SPY US 08/16/19 C292,2.46,2.49,291.62
2019-08-16,SPY US 08/23/19 C289,2.87,2.89,288.85
2019-08-23,SPY US 08/30/19 C285,3.88,3.96,284.85
2019-08-30,SPY US 09/06/19 C293,2.41,2.44,292.45
2019-09-06,SPY US 09/13/19 C299,1.35,1.37,298.05
2019-09-13,SPY US 09/20/19 C302,1.23,1.24,301.09
2019-09-20,SPY US 09/27/19 C299,1.43,1.47,298.28
2019-09-27,SPY US 10/04/19 C296,2.16,2.18,295.4
2019-10-04,SPY US 10/11/19 C295,2.2,2.22,294.35
2019-10-11,SPY US 10/18/19 C297,2.07,2.11,296.28
2019-10-18,SPY US 10/25/19 C298,1.94,1.95,297.97
