date,ticker,underlying_price,pct_otm,weight
2020-03-20,BCE CN 04/17/20 C52,51.79,0.004054836841089093,1
2020-04-17,BCE CN 05/15/20 C60,58.48,0.0259917920656636,1
2020-05-15,BCE CN 06/19/20 C56,54.9,0.020036429872495543,1
2020-06-19,BCE CN 07/17/20 C58,57.96,0.0006901311249136732,1
2020-07-17,BCE CN 08/21/20 C58,57.58,0.007294199374783039,1
2020-08-21,BCE CN 09/18/20 C58,57.56,0.007644197359277127,1
2020-09-18,BCE CN 10/16/20 C56,55.5,0.009009009009008917,1
2020-10-16,BCE CN 11/20/20 C58,56.21,0.03184486746130588,1
2020-11-20,BCE CN 12/18/20 C57,56.62,0.006711409395973256,1
2020-12-18,BCE CN 01/15/21 C56,55.51,0.008827238335435084,1
2021-01-15,BCE CN 02/19/21 C56,55.84,0.002865329512893977,1
2021-02-19,BCE CN 03/19/21 C56,55.0,0.018181818181818077,1
2021-03-19,BCE CN 04/16/21 C57,56.74,0.004582305252026853,1
2021-04-16,BCE CN 05/21/21 C59,58.11,0.015315780416451652,1
2021-05-21,BCE CN 06/18/21 C60,59.71,0.004856807904873639,1
2021-06-18,BCE CN 07/16/21 C61,60.92,0.0013131976362441566,1
2021-07-16,BCE CN 08/20/21 C63,62.36,0.010262989095574104,1
2021-08-20,BCE CN 09/17/21 C66,65.11,0.013669175241898257,1
2021-09-17,BCE CN 10/15/21 C66,64.68,0.020408163265305923,1
2021-10-15,BCE CN 11/19/21 C64,63.59,0.006447554646957121,1
2021-11-19,BCE CN 12/17/21 C65,64.72,0.004326328800988932,1
2021-12-17,BCE CN 01/21/22 C66,65.69,0.004719135332623026,1
2022-01-21,BCE CN 02/18/22 C66,65.47,0.008095310829387525,1
2022-02-18,BCE CN 03/18/22 C68,66.72,0.01918465227817756,1
2022-03-18,BCE CN 04/14/22 C68,67.94,0.0008831321754489974,1
2022-04-14,BCE CN 05/20/22 C74,73.41,0.008037052172728654,1
2022-05-20,BCE CN 06/17/22 C68,67.53,0.006959869687546361,1
2022-06-17,BCE CN 07/15/22 C62,61.93,0.0011303084127241014,1
2022-07-15,BCE CN 08/19/22 C64,63.5,0.007874015748031482,1
2022-08-19,BCE CN 09/16/22 C68,66.04,0.029678982434887757,1
2022-09-16,BCE CN 10/21/22 C63,62.29,0.01139829828222827,1
2022-10-21,BCE CN 11/18/22 C59,58.93,0.001187849991515444,1
2022-11-18,BCE CN 12/16/22 C64,63.37,0.009941612750512974,1
2022-12-16,BCE CN 01/20/23 C61,60.39,0.010101010101010166,1
2023-01-20,BCE CN 02/17/23 C63,62.46,0.008645533141210304,1
2023-02-17,BCE CN 03/17/23 C62,61.78,0.0035610229847846675,1
2023-03-17,BCE CN 04/21/23 C61,60.02,0.016327890703098813,1
2023-04-21,BCE CN 05/19/23 C65,64.44,0.008690254500310468,1
2023-05-19,BCE CN 06/16/23 C64,63.43,0.008986284092700636,1
2023-06-16,BCE CN 07/21/23 C61,60.28,0.011944260119442607,1
2023-07-21,BCE CN 08/18/23 C59,58.73,0.004597309722458753,1
2023-08-18,BCE CN 09/15/23 C56,55.14,0.015596663039535663,1
2023-09-15,BCE CN 10/20/23 C56,55.15,0.015412511332729029,1
2023-10-20,BCE CN 11/17/23 C51.5,50.68,0.01617995264404115,1
2023-11-17,BCE CN 12/15/23 C54.5,54.19,0.005720612659162239,1
2023-12-15,BCE CN 01/19/24 C52,51.78,0.004248744689069106,1
2024-01-19,BCE CN 02/16/24 C56.5,56.01,0.008748437778968166,1
2024-02-16,BCE CN 03/15/24 C51.5,50.83,0.013181192209325232,1
2024-03-15,BCE CN 04/19/24 C47,46.61,0.008367303153829608,1
2024-04-19,BCE CN 05/17/24 C45,44.8,0.0044642857142858094,1
2024-05-17,BCE CN 06/21/24 C47,46.76,0.0051325919589393365,1
2024-06-21,BCE CN 07/19/24 C45,44.65,0.007838745800671898,1
2024-07-19,BCE CN 08/16/24 C46,45.62,0.008329679964927728,1
2024-08-16,BCE CN 09/20/24 C47,46.95,0.0010649627263044081,1
2024-09-20,BCE CN 10/18/24 C48,47.56,0.00925147182506314,1
2024-10-18,BCE CN 11/15/24 C46.5,46.31,0.004102785575469614,1
2024-11-15,BCE CN 12/20/24 C38,37.81,0.005025125628140614,1
2024-12-20,BCE CN 01/17/25 C34,33.28,0.02163461538461542,1
2025-01-17,BCE CN 02/21/25 C34,33.5,0.014925373134328401,1
2025-02-21,BCE CN 03/21/25 C35,34.06,0.027598355842630484,1
2025-03-21,BCE CN 04/17/25 C33,32.57,0.013202333435677005,1
2025-04-17,BCE CN 05/16/25 C31,30.47,0.01739415818838208,1
2025-05-16,BCE CN 06/20/25 C31,30.15,0.028192371475953548,1
2025-06-20,BCE CN 07/18/25 C30,29.83,0.00569896077774068,1
2025-07-18,BCE CN 08/15/25 C32.5,32.5,0.0,1
2025-08-15,BCE CN 09/19/25 C36,35.37,0.01781170483460559,1
