date,ticker,underlying_price,otm_pct,TTM,iv,dividend,weight
7/16/2021,BMO CN 08/20/21 C124 Equity,125.11,0.01571947,35,0.115363831,1.06,0.5
8/20/2021,BMO CN 09/17/21 C130 Equity,127.91,0.01633961,28,0.151059736,0,0.5
9/17/2021,BMO CN 10/15/21 C130 Equity,127.85,0.01681658,28,0.123762156,0,0.5
10/15/2021,BMO CN 11/19/21 C133 Equity,132.68,0.01048473,35,0.095391966,1.06,0.5
11/19/2021,BMO CN 12/17/21 C138 Equity,137.89,0.00079774,28,0.156782453,0,0.5
12/17/2021,BMO CN 01/21/22 C135 Equity,134.11,0.00663634,35,0.167371478,0,0.5
1/21/2022,BMO CN 02/18/22 C145 Equity,143.75,0.01811543,28,0.169036525,1.33,0.5
2/18/2022,BMO CN 03/18/22 C150 Equity,146.48,0.02403058,28,0.19236699,0,0.5
3/18/2022,BMO CN 04/14/22 C155 Equity,152.67,0.01526168,27,0.154332474,0,0.5
4/14/2022,BMO CN 05/20/22 C145 Equity,143.24,0.02177436,36,0.133246312,1.33,0.5
5/20/2022,BMO CN 06/17/22 C135 Equity,130.92,0.03116407,28,0.195316515,0,0.5
6/17/2022,BMO CN 07/15/22 C130 Equity,125.3,0.03750998,28,0.227143048,0,0.5
7/15/2022,BMO CN 08/19/22 C120 Equity,119.84,0.01308569,35,0.167420806,1.39,0.5
8/19/2022,BMO CN 09/16/22 C135 Equity,134.04,0.00716204,28,0.171973885,0,0.5
9/16/2022,BMO CN 10/21/22 C127 Equity,126.8,0.00157729,35,0.20699587,0,0.5
10/21/2022,BMO CN 11/18/22 C123 Equity,122.56,0.01510275,28,0.158844597,1.39,0.5
11/18/2022,BMO CN 12/16/22 C133 Equity,132.27,0.00551901,28,0.200027954,0,0.5
12/16/2022,BMO CN 01/20/23 C122 Equity,120.63,0.01135704,35,0.183816886,0,0.5
1/20/2023,BMO CN 02/17/23 C133 Equity,132.29,0.01635335,28,0.097408381,1.43,0.5
2/17/2023,BMO CN 03/17/23 C136 Equity,135.18,0.00606599,28,0.167502746,0,0.5
3/17/2023,BMO CN 04/21/23 C120 Equity,117.07,0.02502776,35,0.282942052,0,0.5
4/21/2023,BMO CN 05/19/23 C124 Equity,123.46,0.01614357,28,0.096900954,1.43,0.5
5/19/2023,BMO CN 06/16/23 C118 Equity,117.98,0.00016952,28,0.177886854,0,0.5
6/16/2023,BMO CN 07/14/23 C120 Equity,119.1,0.00755668,28,0.121830689,0,0.5
7/21/2023,BMO CN 08/18/23 C125 Equity,123.39,0.02526247,28,0.07715731,1.47,0.5
8/18/2023,BMO CN 09/15/23 C115 Equity,113.26,0.01536288,28,0.185845047,0,0.5
9/15/2023,BMO CN 10/20/23 C120 Equity,120,0,35,0.139035159,0,0.5
10/20/2023,BMO CN 11/17/23 C108 Equity,106.27,0.03053435,28,0.175637408,1.47,0.5
11/17/2023,BMO CN 12/15/23 C114 Equity,112.03,0.01758458,28,0.158131123,0,0.5
12/15/2023,BMO CN 01/19/24 C124 Equity,123.74,0.00210118,35,0.124152264,0,0.5
1/19/2024,BMO CN 02/16/24 C129 Equity,128.75,0.01383213,28,0.103044821,1.51,0.5
2/16/2024,BMO CN 03/15/24 C128 Equity,127.03,0.00763599,28,0.156718688,0,0.5
3/15/2024,BMO CN 04/19/24 C128 Equity,127.11,0.00700181,35,0.150526902,0,0.5
4/19/2024,BMO CN 05/17/24 C127 Equity,126.75,0.01405302,28,0.114934201,1.51,0.5
