date,ticker,underlying_price,otm_pct,TTM,iv,dividend,weight
2021-07-16,BNS CN 08/13/21 C79 Equity,78.52,0.00611309,28,0.12289531248082437,0.0,1
2021-08-20,BNS CN 09/17/21 C80 Equity,79.93,0.00087577,28,0.137754887272779,0.0,1
2021-09-17,BNS CN 10/15/21 C80 Equity,78.19,0.03506275,28,0.09385761808473089,0.9,1
2021-10-15,BNS CN 11/19/21 C80 Equity,79.69,0.00389007,35,0.11539320936830966,0.0,1
2021-11-19,BNS CN 12/17/21 C83 Equity,82.56,0.00532946,28,0.12500862032654173,0.0,1
2021-12-17,BNS CN 01/21/22 C88 Equity,87.29,0.0198169,35,0.09177229164682361,1.0,1
2022-01-21,BNS CN 02/18/22 C90 Equity,89.97,0.00033344,28,0.16244409163828874,0.0,1
2022-02-18,BNS CN 03/18/22 C92 Equity,91.87,0.00141504,28,0.1671924453745841,0.0,1
2022-03-18,BNS CN 04/14/22 C94 Equity,92.77,0.02429988,27,0.1325236658888558,1.0,1
2022-04-14,BNS CN 05/20/22 C86 Equity,85.16,0.00986379,36,0.14636001519867262,0.0,1
2022-05-20,BNS CN 06/17/22 C82 Equity,80.24,0.0219342,28,0.22147002959429735,0.0,1
2022-06-17,BNS CN 07/15/22 C80 Equity,79.29,0.02223358,28,0.16403891265951503,1.03,1
2022-07-15,BNS CN 08/19/22 C74 Equity,72.42,0.02181718,35,0.19282955507355143,0.0,1
2022-08-19,BNS CN 09/16/22 C82 Equity,81.24,0.009355,28,0.16588033910473282,0.0,1
2022-09-16,BNS CN 10/21/22 C72 Equity,71.25,0.0253489,35,0.14546842139217592,1.03,0
2022-10-21,BNS CN 11/18/22 C65 Equity,64.85,0.00231303,28,0.2164236301563248,0.0,0
2022-11-18,BNS CN 12/16/22 C70 Equity,69.04,0.01390498,28,0.1792192917069073,0.0,1
2022-12-16,BNS CN 01/20/23 C66 Equity,65.24,0.02787728,35,0.11747900385831009,1.03,1
2023-01-20,BNS CN 02/17/23 C70 Equity,69.05,0.01375815,28,0.13181493703224173,0.0,1
2023-02-17,BNS CN 03/17/23 C73 Equity,72.95,0.0006854,28,0.18096284025906254,0.0,1
2023-03-17,BNS CN 04/21/23 C66 Equity,65.81,0.01883297,35,0.18907520849642456,1.03,1
2023-04-21,BNS CN 05/19/23 C70 Equity,68.19,0.02654348,28,0.1340299610088981,0.0,1
2023-05-19,BNS CN 06/16/23 C67 Equity,66.53,0.00706448,28,0.16979327140514663,0.0,1
2023-06-16,BNS CN 07/21/23 C67 Equity,66.21,0.02839601,35,0.07368985295135425,1.06,0
2023-07-21,BNS CN 08/18/23 C68 Equity,67.26,0.01100208,28,0.11571062118920902,0.0,1
2023-08-18,BNS CN 09/15/23 C64 Equity,62.42,0.0253124,28,0.1734093153979847,0.0,1
2023-09-15,BNS CN 10/20/23 C66 Equity,65.54,0.0235732,35,0.07320451833996751,1.06,0
2023-10-20,BNS CN 11/17/23 C58 Equity,56.68,0.02328864,28,0.20515402038322006,0.0,1
2023-11-17,BNS CN 12/15/23 C62 Equity,61.09,0.01489606,28,0.17032753221799807,0.0,1
2023-12-15,BNS CN 01/19/24 C62 Equity,61.99,0.01756114,35,0.10387493500591993,1.06,1
2024-01-19,BNS CN 02/16/24 C63 Equity,62.02,0.01580135,28,0.15449149794384154,0.0,1
2024-02-16,BNS CN 03/15/24 C64 Equity,63.86,0.0021923,28,0.16234075402836912,0.0,1
2024-03-15,BNS CN 04/19/24 C68 Equity,67.44,0.02440494,35,0.09547917493154176,1.06,1
2024-04-19,BNS CN 05/17/24 C64.5 Equity,64.28,0.00342253,28,0.1698065678468416,0.0,1
