date,ticker,underlying_price,otm_pct,TTM,iv,dividend,weight
2021-07-16,CM CN 08/20/21 C71.5 Equity,71.415,0.00119023,35,0.23846354463928143,0.0,1
2021-08-20,CM CN 09/17/21 C74 Equity,73.805,0.0026421,28,0.26670562540536225,0.0,1
2021-09-17,CM CN 10/15/21 C75 Equity,72.995,0.03784681,28,0.13465470267628152,0.73,1
2021-10-15,CM CN 11/19/21 C75 Equity,73.785,0.01646676,35,0.19409299584589254,0.0,1
2021-11-19,CM CN 12/17/21 C74 Equity,73.55,0.00611829,28,0.27704578804629193,0.0,1
2021-12-17,CM CN 01/21/22 C72.5 Equity,72.5,0.01122812,35,0.19732494908593806,0.805,1
2022-01-21,CM CN 02/18/22 C82.5 Equity,80.065,0.03041279,28,0.29196586308603484,0.0,1
2022-02-18,CM CN 03/18/22 C82.5 Equity,80.305,0.02733329,28,0.29125642249088296,0.0,1
2022-03-18,CM CN 04/14/22 C82 Equity,81.695,0.01372234,27,0.2588298018715201,0.805,1
2022-04-14,CM CN 05/20/22 C72.5 Equity,72.325,0.00241963,36,0.3165282136039139,0.0,1
2022-05-20,CM CN 06/17/22 C69 Equity,68.57,0.00627096,28,0.2460961225211813,0.0,1
2022-06-17,CM CN 07/15/22 C65 Equity,64.15,0.0265319,28,0.19401181659823208,0.83,1
2022-07-15,CM CN 08/19/22 C60 Equity,59.55,0.00755668,35,0.22548915096217725,0.0,1
2022-08-19,CM CN 09/16/22 C68 Equity,67.88,0.00176783,28,0.17438513496150948,0.0,1
2022-09-16,CM CN 10/21/22 C64 Equity,63.31,0.02432778,35,0.16629570281181968,0.83,0
2022-10-21,CM CN 11/18/22 C60 Equity,59.46,0.00908174,28,0.2127007495015419,0.0,0
2022-11-18,CM CN 12/16/22 C64 Equity,63.56,0.00692259,28,0.19790941852577726,0.0,1
2022-12-16,CM CN 01/20/23 C56 Equity,55.48,0.0250778,35,0.15323161473294317,0.85,1
2023-01-20,CM CN 02/17/23 C59 Equity,58.24,0.01304945,28,0.1374531176500862,0.0,1
2023-02-17,CM CN 03/17/23 C64 Equity,62.52,0.02367242,28,0.18169753840503844,0.0,1
2023-03-17,CM CN 04/21/23 C58 Equity,57.02,0.03257967,35,0.20601741193485895,0.85,1
2023-04-21,CM CN 05/19/23 C58 Equity,57.7,0.00519931,28,0.15573724594546362,0.0,1
2023-05-19,CM CN 06/16/23 C57 Equity,56.14,0.01531885,28,0.1819697591703017,0.0,1
2023-06-16,CM CN 07/21/23 C58.5 Equity,58.26,0.01934135,35,0.07078235999205953,0.87,0
2023-07-21,CM CN 08/18/23 C58 Equity,57.9,0.00172712,28,0.1258040955668144,0.0,1
2023-08-18,CM CN 09/15/23 C54 Equity,53.76,0.00446429,28,0.19884658091778065,0.0,1
2023-09-15,CM CN 10/20/23 C56 Equity,55.56,0.02395319,35,0.07227884279873122,0.87,0
2023-10-20,CM CN 11/17/23 C49 Equity,48.67,0.00678036,28,0.20729650776554234,0.0,1
2023-11-17,CM CN 12/15/23 C54.5 Equity,54.22,0.00516415,28,0.1620644799378635,0.0,1
2023-12-15,CM CN 01/19/24 C61 Equity,60.89,0.01683614,35,0.06434391966314185,0.9,1
2024-01-19,CM CN 02/16/24 C62 Equity,61.69,0.00502513,28,0.15040548487011596,0.0,1
2024-02-16,CM CN 03/15/24 C62 Equity,61.93,0.00113031,28,0.16344385064982564,0.0,1
2024-03-15,CM CN 04/19/24 C67 Equity,66.69,0.01839185,35,0.09791177954485289,0.9,1
2024-04-19,CM CN 05/17/24 C66 Equity,65.43,0.0087116,28,0.15386438040611952,0.0,1
