date,ticker,underlying_price,otm_pct,TTM,iv,dividend,weight
2021-07-16,NA CN 08/20/21 C96 Equity,94.71,0.01362053,35,0.1223711282804201,0.0,1
2021-08-20,NA CN 09/17/21 C99 Equity,98.89,0.00111235,28,0.1507619867692171,0.0,1
2021-09-17,NA CN 10/15/21 C98 Equity,97.98,0.00750488,28,0.1061212008950537,0.71,1
2021-10-15,NA CN 11/19/21 C102 Equity,101.85,0.00147275,35,0.10835494157938504,0.0,1
2021-11-19,NA CN 12/17/21 C105 Equity,104.81,0.0018128,28,0.138774879149004,0.0,1
2021-12-17,NA CN 01/21/22 C98 Equity,96.8,0.02157823,35,0.10855141905235363,0.87,1
2022-01-21,NA CN 02/18/22 C98 Equity,97.93,0.0007148,28,0.17462518309031339,0.0,1
2022-02-18,NA CN 03/18/22 C102 Equity,101.64,0.00354191,28,0.17817289445598875,0.0,1
2022-03-18,NA CN 04/14/22 C105 Equity,100.83,0.05042017,27,0.1411476348116127,0.87,1
2022-04-14,NA CN 05/20/22 C96 Equity,94.18,0.0193247,36,0.15850352894908937,0.0,1
2022-05-20,NA CN 06/17/22 C94 Equity,92.04,0.02129509,28,0.21572459221501916,0.0,1
2022-06-17,NA CN 07/15/22 C86 Equity,85.7,0.01439019,28,0.18772867071440574,0.92,1
2022-07-15,NA CN 08/19/22 C84 Equity,83.85,0.00178891,35,0.20503910072401535,0.0,1
2022-08-19,NA CN 09/16/22 C95 Equity,94.25,0.00795756,28,0.16988664052691624,0.0,1
2022-09-16,NA CN 10/14/22 C92 Equity,90.94,0.02199511,28,0.1529991879806103,0.92,0
2022-10-21,NA CN 11/18/22 C90 Equity,89.12,0.00987433,28,0.190817699633654,0.0,0
2022-11-18,NA CN 12/16/22 C98 Equity,97.39,0.00626348,28,0.1769324034492132,0.0,1
2022-12-16,NA CN 01/20/23 C94 Equity,92.4,0.02810894,35,0.13753350668630113,0.97,1
2023-01-20,NA CN 02/17/23 C100 Equity,98.2,0.01832994,28,0.14250143312563868,0.0,1
2023-02-17,NA CN 03/17/23 C102 Equity,101.5,0.00492611,28,0.14199016465871384,0.0,1
2023-03-17,NA CN 04/21/23 C94 Equity,93.88,0.01173178,35,0.1928874818073831,0.97,1
2023-04-21,NA CN 05/19/23 C100 Equity,99.22,0.00786132,28,0.1300130527824749,0.0,1
2023-05-19,NA CN 06/16/23 C103 Equity,102.72,0.00272586,28,0.14407808257706237,0.0,1
2023-06-16,NA CN 07/21/23 C100 Equity,99.43,0.01615689,35,0.06919861228511795,1.02,0
2023-07-21,NA CN 08/18/23 C102 Equity,101.4,0.00591716,28,0.10911661519841159,0.0,1
2023-08-18,NA CN 09/15/23 C104 Equity,100.33,0.03657929,28,0.14674249878786358,0.0,1
2023-09-15,NA CN 10/13/23 C95 Equity,94.25,0.01898531,28,0.09555133415332272,1.02,0
2023-10-20,NA CN 11/17/23 C86 Equity,85.15,0.00998238,28,0.21058233682925298,0.0,1
2023-11-17,NA CN 12/15/23 C92 Equity,91.34,0.00722575,28,0.1773745200789259,0.0,1
2023-12-15,NA CN 01/19/24 C100 Equity,98.6,0.02522042,35,0.07272616068495596,1.06,1
2024-01-19,NA CN 02/16/24 C102 Equity,100.18,0.0181673,28,0.1336856538812587,0.0,1
2024-02-16,NA CN 03/15/24 C104 Equity,103.71,0.00279626,28,0.15795323346919937,0.0,1
2024-03-15,NA CN 04/19/24 C113 Equity,110.22,0.03517772,35,0.08560019598759676,1.06,1
2024-04-19,NA CN 05/17/24 C113 Equity,110.12,0.02615329,28,0.13720861237680698,0.0,1
