date,ticker,underlying_price,pct_otm,weight
2018-01-05,SPY US 01/12/18 C230,273.42,-0.15880330626874406,1
2018-01-12,SPY US 01/19/18 C223,277.92,-0.19761082325849166,1
2018-01-19,SPY US 01/26/18 C225,280.41,-0.19760350914732006,1
2018-01-26,SPY US 02/02/18 C235,286.58,-0.17998464652104118,1
2018-02-02,SPY US 02/09/18 C235,275.45,-0.14685060809584316,1
2018-02-09,SPY US 02/16/18 C210,261.5,-0.19694072657743789,1
2018-02-16,SPY US 02/23/18 C219,273.11,-0.19812529749917618,1
2018-02-23,SPY US 03/02/18 C220,274.71,-0.19915547304430126,1
2018-03-02,SPY US 03/09/18 C216,269.08,-0.19726475397651255,1
2018-03-09,SPY US 03/16/18 C224,278.87,-0.19675834618280919,1
2018-03-16,SPY US 03/23/18 C220,274.2,-0.19766593727206416,1
2018-03-23,SPY US 03/29/18 C207,258.05,-0.19782987793063367,1
2018-03-29,SPY US 04/06/18 C211,263.15,-0.19817594527835825,1
2018-04-06,SPY US 04/13/18 C210,259.72,-0.19143693208070234,1
2018-04-13,SPY US 04/20/18 C213,265.15,-0.19668112389213643,1
2018-04-20,SPY US 04/27/18 C215,266.61,-0.1935786354600353,1
2018-04-27,SPY US 05/04/18 C215,266.56,-0.19342737094837936,1
2018-05-04,SPY US 05/11/18 C215,266.02,-0.19179009097060362,1
2018-05-11,SPY US 05/18/18 C219,272.85,-0.19736118746564058,1
2018-05-18,SPY US 05/25/18 C220,271.33,-0.18917922824604716,1
2018-05-25,SPY US 06/01/18 C220,272.15,-0.19162226713209618,1
2018-06-01,SPY US 06/08/18 C220,273.6,-0.19590643274853803,1
2018-06-08,SPY US 06/15/18 C223,278.19,-0.19838958984866462,1
2018-06-15,SPY US 06/22/18 C225,277.13,-0.18810666474217874,1
2018-06-22,SPY US 06/29/18 C220,274.74,-0.19924292057945692,1
2018-06-29,SPY US 07/06/18 C220,271.28,-0.18902978472427,1
2018-07-06,SPY US 07/13/18 C225,275.42,-0.18306586304553052,1
2018-07-13,SPY US 07/20/18 C224,279.59,-0.19882685360706742,1
2018-07-20,SPY US 07/27/18 C225,279.68,-0.19550915331807783,1
2018-07-27,SPY US 08/03/18 C230,281.42,-0.18271622485964045,1
2018-08-03,SPY US 08/10/18 C230,283.6,-0.1889985895627645,1
2018-08-10,SPY US 08/17/18 C227,283.16,-0.19833309789518305,1
2018-08-17,SPY US 08/24/18 C230,285.06,-0.1931523188100751,1
2018-08-24,SPY US 08/31/18 C235,287.51,-0.1826371256651942,1
2018-08-31,SPY US 09/07/18 C235,290.31,-0.19052047810960693,1
2018-09-07,SPY US 09/14/18 C235,287.6,-0.1828929068150209,1
2018-09-14,SPY US 09/21/18 C233,290.88,-0.198982398239824,1
2018-09-21,SPY US 09/28/18 C234,291.99,-0.19860269187300938,1
2018-09-28,SPY US 10/05/18 C235,290.72,-0.19166208035222898,1
2018-10-05,SPY US 10/12/18 C235,287.82,-0.18351747620040304,1
2018-10-12,SPY US 10/19/18 C221,275.95,-0.1991302772241348,1
2018-10-19,SPY US 10/26/18 C225,276.25,-0.18552036199095023,1
2018-10-26,SPY US 11/02/18 C225,265.33,-0.15199939697734888,1
2018-11-02,SPY US 11/09/18 C220,271.89,-0.1908492405016734,1
2018-11-09,SPY US 11/16/18 C223,277.76,-0.19714861751152069,1
2018-11-16,SPY US 11/23/18 C220,273.73,-0.19628831330142849,1
2018-11-23,SPY US 11/30/18 C215,263.25,-0.18328584995251662,1
2018-11-30,SPY US 12/07/18 C225,275.65,-0.18374750589515687,1
2018-12-07,SPY US 12/14/18 C215,263.57,-0.18427742155784044,1
2018-12-14,SPY US 12/21/18 C209,260.47,-0.19760433063308647,1
2018-12-21,SPY US 12/28/18 C200,240.7,-0.16909015371832148,1
2018-12-28,SPY US 01/04/19 C199,247.75,-0.19677093844601412,1
2019-01-04,SPY US 01/11/19 C202,252.39,-0.1996513332540909,1
2019-01-11,SPY US 01/18/19 C208,258.98,-0.1968491775426674,1
2019-01-18,SPY US 01/25/19 C214,266.46,-0.19687758012459655,1
2019-01-25,SPY US 02/01/19 C213,265.78,-0.1985852961095642,1
2019-02-01,SPY US 02/08/19 C217,270.06,-0.19647485743908766,1
2019-02-08,SPY US 02/15/19 C217,270.47,-0.19769290494324698,1
2019-02-15,SPY US 02/22/19 C225,277.37,-0.1888091718642968,1
2019-02-22,SPY US 03/01/19 C225,279.14,-0.19395285519810845,1
2019-03-01,SPY US 03/08/19 C225,280.42,-0.19763212324370594,1
2019-03-08,SPY US 03/15/19 C220,274.46,-0.19842600014574063,1
2019-03-15,SPY US 03/22/19 C230,281.31,-0.1823966442714443,1
2019-03-22,SPY US 03/29/19 C224,279.25,-0.19785138764547894,1
2019-03-29,SPY US 04/05/19 C230,282.48,-0.18578306428773728,1
2019-04-05,SPY US 04/12/19 C235,288.57,-0.1856395328689746,1
2019-04-12,SPY US 04/18/19 C233,290.16,-0.19699476151089057,1
2019-04-18,SPY US 04/26/19 C235,290.02,-0.18971105441004066,1
2019-04-26,SPY US 05/03/19 C235,293.41,-0.19907296956477294,1
2019-05-03,SPY US 05/10/19 C245,294.03,-0.16675169200421713,1
2019-05-10,SPY US 05/17/19 C231,288.1,-0.19819507115584878,1
2019-05-17,SPY US 05/24/19 C235,285.84,-0.17786174083403294,1
2019-05-24,SPY US 05/31/19 C235,282.78,-0.1689652733573802,1
2019-05-31,SPY US 06/07/19 C225,275.27,-0.18262069967668104,1
2019-06-07,SPY US 06/14/19 C235,287.65,-0.1830349382930644,1
2019-06-14,SPY US 06/21/19 C232,289.26,-0.19795339832676484,1
2019-06-21,SPY US 06/28/19 C236,294.0,-0.19727891156462585,1
2019-06-28,SPY US 07/05/19 C235,293.0,-0.19795221843003408,1
2019-07-05,SPY US 07/12/19 C240,298.46,-0.1958721436708436,1
2019-07-12,SPY US 07/19/19 C241,300.65,-0.19840345917179436,1
2019-07-19,SPY US 07/26/19 C240,297.17,-0.1923814651546254,1
2019-07-26,SPY US 08/02/19 C245,302.01,-0.1887685838217278,1
2019-08-02,SPY US 08/09/19 C235,292.62,-0.19691066912719568,1
2019-08-09,SPY US 08/16/19 C234,291.62,-0.19758589945819904,1
2019-08-16,SPY US 08/23/19 C235,288.85,-0.18642894235762508,1
2019-08-23,SPY US 08/30/19 C230,284.85,-0.19255748639634906,1
2019-08-30,SPY US 09/06/19 C235,292.45,-0.19644383655325692,1
2019-09-06,SPY US 09/13/19 C240,298.05,-0.19476597886260694,1
2019-09-13,SPY US 09/20/19 C241,301.09,-0.19957487794347195,1
2019-09-20,SPY US 09/27/19 C240,298.28,-0.19538688480622224,1
2019-09-27,SPY US 10/04/19 C240,295.4,-0.1875423155044007,1
2019-10-04,SPY US 10/11/19 C240,294.35,-0.18464413113640232,1
2019-10-11,SPY US 10/18/19 C238,296.28,-0.19670581882003502,1
2019-10-18,SPY US 10/25/19 C240,297.97,-0.19454978689129787,1
2019-10-25,SPY US 11/01/19 C245,301.6,-0.18766578249336874,1
2019-11-01,SPY US 11/08/19 C245,306.14,-0.1997125498138106,1
2019-11-08,SPY US 11/15/19 C248,308.94,-0.19725513044604126,1
2019-11-15,SPY US 11/22/19 C250,311.79,-0.19817826100901248,1
2019-11-22,SPY US 11/29/19 C250,310.96,-0.1960380756367378,1
2019-11-29,SPY US 12/06/19 C265,314.31,-0.1568833317425472,1
2019-12-06,SPY US 12/13/19 C265,314.87,-0.1583828246577953,1
2019-12-13,SPY US 12/20/19 C254,317.32,-0.19954619942014373,1
2019-12-20,SPY US 12/27/19 C265,320.73,-0.1737598603186481,1
2019-12-27,SPY US 01/03/20 C260,322.86,-0.19469739205847736,1
2020-01-03,SPY US 01/10/20 C265,322.41,-0.1780651964889427,1
2020-01-10,SPY US 01/17/20 C261,325.71,-0.19867366675877307,1
2020-01-17,SPY US 01/24/20 C270,331.95,-0.18662449164030726,1
