date,ticker,underlying_price,pct_otm,weight
2025-07-18,SPY US 07/25/25 C634,627.58,0.010229771503234675,1
2025-07-25,SPY US 08/01/25 C644,637.1,0.010830324909747224,1
2025-08-01,SPY US 08/08/25 C628,621.72,0.010101010101010166,1
2025-08-08,SPY US 08/15/25 C644,637.18,0.010703411908722815,1
2025-08-15,SPY US 08/22/25 C650,643.44,0.010195200795722892,1
2025-08-22,SPY US 08/29/25 C652,645.31,0.010367110381057199,1
2025-08-29,SPY US 09/05/25 C652,645.05,0.010774358576854492,1
2025-09-05,SPY US 09/12/25 C654,647.24,0.010444348309746054,1
2025-09-12,SPY US 09/19/25 C664,657.41,0.01002418582011222,1
2025-09-19,SPY US 09/26/25 C671,663.7,0.010998945306614383,1
