date,ticker,underlying_price,otm_pct,TTM,iv,dividend,weight
2021-07-16,TD CN 08/20/21 C85 Equity,84.02,0.01166389,35,0.12568605683368328,0.0,1
2021-08-20,TD CN 09/17/21 C88 Equity,86.13,0.02171137,28,0.13123837908733302,0.0,1
2021-09-17,TD CN 10/15/21 C84 Equity,82.48,0.02827763,28,0.0973245069675925,0.79,1
2021-10-15,TD CN 11/12/21 C88 Equity,87.01,0.011378,28,0.10464433843071312,0.0,1
2021-11-19,TD CN 12/17/21 C92 Equity,91.83,0.00185125,28,0.14732596483942892,0.0,1
2021-12-17,TD CN 01/21/22 C96 Equity,94.12,0.02971147,35,0.11345421954129682,0.89,1
2022-01-21,TD CN 02/18/22 C103 Equity,100.3,0.02691924,28,0.1685075347117027,0.0,1
2022-02-18,TD CN 03/18/22 C110 Equity,106.23,0.03548903,28,0.17690698433867358,0.0,1
2022-03-18,TD CN 04/14/22 C105 Equity,101.79,0.04063429,27,0.13998562073144824,0.89,1
2022-04-14,TD CN 05/20/22 C94 Equity,93.99,0.00010639,36,0.16979501820851575,0.0,1
2022-05-20,TD CN 06/17/22 C94 Equity,92.1,0.02062975,28,0.20771225645910185,0.0,1
2022-06-17,TD CN 07/15/22 C88 Equity,86.44,0.02863822,28,0.20458041687392128,0.89,1
2022-07-15,TD CN 08/19/22 C80 Equity,78.89,0.01407022,35,0.2255536131273059,0.0,1
2022-08-19,TD CN 09/16/22 C87.5 Equity,87.34,0.00183192,28,0.1954228252322569,0.0,1
2022-09-16,TD CN 10/21/22 C88 Equity,87.93,0.01102941,35,0.16155212249762282,0.89,0
2022-10-21,TD CN 11/18/22 C87 Equity,86.26,0.00857872,28,0.2010164888845863,0.0,0
2022-11-18,TD CN 12/16/22 C90 Equity,89.42,0.00648624,28,0.17869519804904807,0.0,1
2022-12-16,TD CN 01/20/23 C88 Equity,86.63,0.02719739,35,0.14290803520409645,0.96,1
2023-01-20,TD CN 02/17/23 C90 Equity,89.18,0.00919489,28,0.12888755642763833,0.0,1
2023-02-17,TD CN 03/17/23 C94 Equity,92.87,0.01216755,28,0.16428041090888199,0.0,1
2023-03-17,TD CN 04/21/23 C78 Equity,77.9,0.01377697,35,0.3117887640793808,0.96,1
2023-04-21,TD CN 05/19/23 C84 Equity,83.55,0.005386,28,0.14574906985510147,0.0,1
2023-05-19,TD CN 06/16/23 C84 Equity,82.27,0.02102832,28,0.15643843825765544,0.0,1
2023-06-16,TD CN 07/21/23 C81 Equity,80.71,0.01567398,35,0.08767963945255938,0.96,0
2023-07-21,TD CN 08/18/23 C88 Equity,86.24,0.02040816,28,0.11523896015735044,0.0,1
2023-08-18,TD CN 09/15/23 C84 Equity,83.93,0.00083403,28,0.1771963563802033,0.0,1
2023-09-15,TD CN 10/20/23 C86 Equity,84.1,0.03439981,35,0.09915134740499208,0.96,0
2023-10-20,TD CN 11/17/23 C80 Equity,78.71,0.01638928,28,0.17943660835433597,0.0,1
2023-11-17,TD CN 12/15/23 C85 Equity,84.78,0.00259495,28,0.15116211295994444,0.0,1
2023-12-15,TD CN 01/12/24 C84 Equity,83.52,0.01818182,28,0.10713242202796609,1.02,1
2024-01-19,TD CN 02/16/24 C82 Equity,81.17,0.01022545,28,0.15241167439109993,0.0,1
2024-02-16,TD CN 03/15/24 C82 Equity,80.87,0.01397304,28,0.14593258633355216,0.0,1
2024-03-15,TD CN 04/19/24 C82 Equity,81.37,0.02053516,35,0.10523001402756585,1.02,1
2024-04-19,TD CN 05/17/24 C80 Equity,79.88,0.00150225,28,0.1453843049287923,0.0,1
