date,ticker,underlying_price,pct_otm,weight
2024-03-22,ZEB CN 04/19/24 C37.75,36.6873,0.028966427,1
2024-04-05,ZEB CN 05/03/24 C38,36.73,0.03457664,1
2024-04-12,ZEB CN 05/10/24 C37,35.96,0.028921023,1
2024-04-19,ZEB CN 05/17/24 C37.25,35.64,0.045173962,1
2024-04-26,ZEB CN 05/24/24 C37,35.64,0.038159371,1
2024-05-03,ZEB CN 05/31/24 C37,35.51,0.041960011,1
2024-05-10,ZEB CN 06/07/24 C36.5,36.43,0.001921493,1
2024-05-24,ZEB CN 06/21/24 C37.25,36.46,0.021667581,1
2024-05-31,ZEB CN 06/28/24 C36.5,36.18,0.008844666,1
2024-06-07,ZEB CN 07/05/24 C37,35.92,0.030066815,1
2024-06-14,ZEB CN 07/12/24 C35.5,34.625,0.025270758,1
2024-06-21,ZEB CN 07/19/24 C35.25,34.34,0.026499709,1
2024-06-28,ZEB CN 07/26/24 C35,34.77,0.006614898,1
2024-07-05,ZEB CN 08/02/24 C35,35.05,-0.001426534,1
2024-07-12,ZEB CN 08/09/24 C36,36.1231,-0.003407792,1
2024-07-19,ZEB CN 08/16/24 C38,36.4702,0.041946576,1
2024-07-26,ZEB CN 08/23/24 C38,36.9,0.029810298,1
2024-08-02,ZEB CN 08/30/24 C37,35.88,0.031215162,1
2024-08-09,ZEB CN 09/06/24 C37,36.05,0.026352288,1
2024-08-23,ZEB CN 09/20/24 C38.25,37.6179,0.016803171,1
2024-08-30,ZEB CN 09/27/24 C39,38.3412,0.017182561,1
2024-09-06,ZEB CN 10/04/24 C39.5,38.69,0.020935642,1
2024-09-13,ZEB CN 10/11/24 C41,39.94,0.02653981,1
2024-09-20,ZEB CN 10/18/24 C41.5,40.55,0.023427867,1
2024-09-27,ZEB CN 10/25/24 C42,40.44,0.038575668,1
2024-10-04,ZEB CN 11/01/24 C42,40.49,0.037293159,1
2024-10-11,ZEB CN 11/08/24 C42,40.6047,0.034363017,1
